epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,12866.2,0.53592,0.54533,0.97802,0.86703,0.80076,0.85578,0.71453,0.72568,0.68708,1.10115,9.91209e-05,9.91209e-05,9.91209e-05
79,12916.8,0.5344,0.53239,0.97842,0.86612,0.8019,0.85148,0.71128,0.73013,0.67599,1.11028,9.49926e-05,9.49926e-05,9.49926e-05
80,12967.4,0.53568,0.5458,0.97573,0.86949,0.80037,0.85681,0.71689,0.72036,0.66356,1.10737,9.08643e-05,9.08643e-05,9.08643e-05
81,13019.1,0.53734,0.54266,0.9804,0.85939,0.82875,0.85809,0.72028,0.72939,0.66662,1.11774,8.6736e-05,8.6736e-05,8.6736e-05
82,13068.5,0.53541,0.53293,0.97126,0.8782,0.79411,0.8575,0.72025,0.72026,0.66488,1.10954,8.26077e-05,8.26077e-05,8.26077e-05
83,13120.9,0.53681,0.54119,0.98439,0.85333,0.81288,0.85231,0.7162,0.72148,0.66711,1.10176,7.84794e-05,7.84794e-05,7.84794e-05
84,13171.5,0.53151,0.52838,0.97082,0.86578,0.80367,0.85153,0.71616,0.72086,0.68181,1.10691,7.43511e-05,7.43511e-05,7.43511e-05
85,13221.5,0.53484,0.52278,0.979,0.8521,0.82258,0.85461,0.71905,0.72242,0.66412,1.1035,7.02228e-05,7.02228e-05,7.02228e-05
86,13271.6,0.52036,0.51296,0.96958,0.87537,0.81625,0.85418,0.71541,0.72462,0.66894,1.10321,6.60945e-05,6.60945e-05,6.60945e-05
87,13322.7,0.52667,0.52069,0.97416,0.88027,0.81286,0.85804,0.71648,0.72158,0.66628,1.10194,6.19662e-05,6.19662e-05,6.19662e-05
88,13373.4,0.52411,0.50567,0.97225,0.85426,0.82394,0.85683,0.7179,0.71964,0.65185,1.10236,5.78379e-05,5.78379e-05,5.78379e-05
89,13424.5,0.51239,0.51128,0.96774,0.85374,0.82453,0.85312,0.71651,0.72116,0.67351,1.10728,5.37096e-05,5.37096e-05,5.37096e-05
90,13475.4,0.5124,0.5056,0.96526,0.8512,0.8252,0.85877,0.71923,0.7195,0.66695,1.10391,4.95813e-05,4.95813e-05,4.95813e-05
91,13545.9,0.50342,0.34338,0.92926,0.85558,0.82541,0.85774,0.71719,0.7212,0.66123,1.10795,4.5453e-05,4.5453e-05,4.5453e-05
92,13595.8,0.50007,0.34548,0.93258,0.86941,0.80408,0.85401,0.71959,0.71633,0.67283,1.10398,4.13247e-05,4.13247e-05,4.13247e-05
93,13645.5,0.48886,0.33749,0.92382,0.86342,0.81247,0.85689,0.72337,0.71078,0.66681,1.09603,3.71964e-05,3.71964e-05,3.71964e-05
94,13695.3,0.48262,0.32331,0.919,0.85501,0.81421,0.85665,0.7203,0.71952,0.67976,1.10357,3.30681e-05,3.30681e-05,3.30681e-05
95,13744.9,0.48344,0.32965,0.92061,0.85603,0.81859,0.85602,0.71927,0.72451,0.67598,1.1077,2.89398e-05,2.89398e-05,2.89398e-05
96,13794.8,0.4774,0.32156,0.91897,0.85363,0.81952,0.85698,0.72059,0.71839,0.67195,1.10499,2.48115e-05,2.48115e-05,2.48115e-05
97,13845.1,0.47907,0.32519,0.91565,0.86319,0.82238,0.8601,0.72059,0.71654,0.67334,1.10262,2.06832e-05,2.06832e-05,2.06832e-05
98,13894.6,0.47459,0.31891,0.91795,0.87981,0.80311,0.86028,0.72125,0.71446,0.67229,1.1004,1.65549e-05,1.65549e-05,1.65549e-05
99,13945.2,0.47465,0.31639,0.91217,0.8556,0.81824,0.85959,0.72243,0.71509,0.67569,1.10135,1.24266e-05,1.24266e-05,1.24266e-05
100,13995.8,0.46859,0.31394,0.90922,0.87028,0.8079,0.85941,0.72227,0.71395,0.66568,1.10141,8.2983e-06,8.2983e-06,8.2983e-06
